key,en,de,fr,zh
status.no_active_mods,No active mods.,Keine aktiven Mods.,Aucun mod actif.,
status.resolving_dependencies,Resolving dependencies for {0}...,Löse Abhängigkeiten für {0} auf…,Résolution des dépendances pour {0}…,
status.missing_dependencies,Missing dependencies for {0}: {1},Fehlende Abhängigkeiten für {0}: {1},Dépendances manquantes pour {0} : {1},
status.activated,Activated: {0},Aktiviert: {0},Activé : {0},
status.activation_failed,Failed to activate: {0},Aktivierung fehlgeschlagen: {0},Impossible d'activer : {0},
status.activated_count,Activated {0}/{1} mod(s) in group ''{2}''.,"{0}/{1} Mod(s) in Gruppe „{2}"" aktiviert.",{0}/{1} mod(s) activé(s) dans le groupe « {2} ».,
status.activated_with_missing_deps,Activated {0}/{1} — missing deps: {2},Aktiviert {0}/{1} – fehlende Abhängigkeiten: {2},Activé {0}/{1} — dépendances manquantes : {2},
status.deactivated,Deactivated: {0},Deaktiviert: {0},Désactivé : {0},
status.deactivation_failed,Failed to deactivate: {0},Deaktivierung fehlgeschlagen: {0},Impossible de désactiver : {0},
status.deactivated_count,Deactivated {0}/{1} mod(s) in group ''{2}''.,"{0}/{1} Mod(s) in Gruppe „{2}"" deaktiviert.",{0}/{1} mod(s) désactivé(s) dans le groupe « {2} ».,
status.install_success,Installed: {0},Installiert: {0},Installé : {0},
status.install_failed,"Install failed. Ensure the archive contains Info.json.","Installation fehlgeschlagen. Stellen Sie sicher, dass das Archiv Info.json enthält.","Échec de l'installation. Assurez-vous que l'archive contient Info.json.",
status.install_multi_result,"Installed {0}/{1} mod(s) ({2} failed).","{0}/{1} Mod(s) installiert ({2} fehlgeschlagen).","{0}/{1} mod(s) installé(s) ({2} échoué(s)).",
status.uninstalled,Uninstalled: {0},Deinstalliert: {0},Désinstallé : {0},
status.checking_updates,Checking for updates...,Auf Updates wird überprüft...,Vérification des mises à jour…,
status.updates_available,{0} update(s) available.,{0} Update(s) verfügbar.,{0} mise(s) à jour disponible(s).,
status.all_up_to_date,All mods are up to date.,Alle Mods sind aktuell.,Tous les mods sont à jour.,
status.update_opened,Opened mod page for {0} v{1},Modseite für {0} v{1} geöffnet,Page de mod ouverte pour {0} v{1},
status.updating,Updating {0} to v{1}...,,Mise à jour de {0} vers v{1}…,
status.updated,Updated {0} to v{1},{0} auf v{1} aktualisiert,{0} mis à jour vers v{1},
status.update_failed,Update failed for {0},Update fehlgeschlagen für {0},Échec de la mise à jour de {0},
status.rolling_back,Rolling back {0} to v{1}...,Rollback von {0} zu v{1}…,Restauration de {0} à v{1}…,
status.rolled_back,Rolled back {0} to v{1},Rollback von {0} zu v{1} durchgeführt,{0} restauré à v{1},
status.rollback_failed,Rollback failed for {0},Rollback fehlgeschlagen für {0},Échec du rollback pour {0},
status.profile_saved,Profile ''{0}'' saved.,"Profil „{0}"" gespeichert.",Profil « {0} » enregistré.,
status.profile_applied,Applied profile ''{0}''.,"Profil „{0}"" angewendet.",Profil « {0} » appliqué.,
status.profile_already_applied,Profile is already applied.,Profil ist bereits angewendet.,Le profil est déjà appliqué.,
status.no_downloadable_updates,No downloadable updates available.,Keine herunterladbaren Updates verfügbar.,Aucune mise à jour téléchargeable disponible.,
status.downloading_mods,Downloading {0} mod(s)...,{0} Mod(s) werden heruntergeladen…,Téléchargement de {0} mod(s)…,
status.download_complete,Downloaded {0} mod(s). Nexus mods ({1}) opened in browser — install manually then re-apply.,{0} Mod(s) heruntergeladen. Nexus-Mods ({1}) im Browser geöffnet – manuell installieren und dann erneut anwenden.,{0} mod(s) téléchargé(s). Mods Nexus ({1}) ouverts dans le navigateur — installer manuellement puis appliquer à nouveau.,
status.activating_mod,Activating {0}...,Aktiviere {0}…,Activation de {0}…,
status.deactivating_mod,Deactivating {0}...,Deaktiviere {0}…,Désactivation de {0}…,
status.activating_group,Activating {0} mod(s)...,Aktiviere {0} Mod(s)…,Activation de {0} mod(s)…,
status.deactivating_group,Deactivating {0} mod(s)...,Deaktiviere {0} Mod(s)…,Désactivation de {0} mod(s)…,
busy.installing_mod,Installing mod...,Mod wird installiert…,Installation du mod…,
busy.creating_backup,Creating backup...,Erstelle Backup…,Création d'une sauvegarde…,
busy.resolving_mod,Resolving {0}...,Löse {0} auf…,Résolution de {0}…,
busy.downloading_mod,Downloading {0}...,Lade {0} herunter…,Téléchargement de {0}…,
busy.download_progress,Downloading {0} {1:P0}...,Lade {0} {1:P0} herunter…,Téléchargement de {0} {1:P0}…,
busy.downloading_multiple,Downloading {0} ({1}/{2})...,Lade {0} herunter ({1}/{2})…,Téléchargement de {0} ({1}/{2})…,
busy.updating_mod,Updating {0}...,Aktualisiere {0}…,Mise à jour de {0}…,
busy.update_progress,Updating {0}… {1:P0},Aktualisiere {0}… {1:P0},Mise à jour de {0}… {1:P0},
busy.update_multiple,Updating {0}… {1:P0} ({2}/{3})...,Aktualisiere {0}… {1:P0} ({2}/{3})…,Mise à jour de {0}… {1:P0} ({2}/{3})…,
menu.operations,Operations,Operationen,Opérations,
menu.version_history,Version History,Versionsverlauf,Historique des versions,
filter.search_mods,Search mods...,Mods durchsuchen...,Rechercher des mods...,
ui.select_mod_details,Select a mod to see details,Wählen Sie ein Mod aus um Details zu sehen,Sélectionnez un mod pour voir les détails,
button.add_group,＋ Group,＋ Gruppe,＋ Groupe,
button.rename_group,Rename group,Gruppe umbenennen,Renommer le groupe,
button.delete_group,Delete group,Gruppe löschen,Supprimer le groupe,
badge.update,UPDATE,AKTUALISIERUNG,MISE À JOUR,
link.homepage,🌐 HomePage,🌐 Startseite,🌐 Page d'accueil,
link.repository,📦 Repository,📦 Repository,📦 Référentiel,
mod.missing_dependencies,Missing Dependencies,Fehlende Abhängigkeiten,Dépendances manquantes,
button.uninstall,✕ Uninstall,✕ Deinstallieren,✕ Désinstaller,
button.update,↑ Update,↑ Aktualisieren,↑ Mettre à jour,
menu.version_history,Version History,Versionsverlauf,Historique des versions,
button.rollback,↩ Rollback to Selected Version,↩ Zu ausgewählter Version zurücksetzen,↩ Revenir à la version sélectionnée,
profile.dialog_title,Manage Profiles,Profile verwalten,Gérer les profils,
profile.saved_profiles,Saved Profiles,Gespeicherte Profile,Profils enregistrés,
profile.help_text,Use the main toolbar to save the current mod selection as a new profile.,Verwenden Sie die Hauptsymbolleiste um die aktuelle Mod-Auswahl als neues Profil zu speichern.,Utilisez la barre d'outils principale pour enregistrer la sélection actuelle des mods comme nouveau profil.,
profile.button_apply,✓ Apply,✓ Anwenden,✓ Appliquer,
profile.button_export,Export,Exportieren,Exporter,
profile.button_import,Import,Importieren,Importer,
profile.button_delete,✕ Delete,✕ Löschen,✕ Supprimer,
button.close,Close,Schließen,Fermer,
modversion.source.cached,Cached,Zwischengespeichert,Mis en cache,
modversion.source.github,GitHub,GitHub,GitHub,
modversion.source.nexus,Nexus,Nexus,Nexus,
modversion.source.manual,Manual,Manuell,Manuel,
export.choose_format.title,Export Profile,Profil exportieren,Exporter le profil,
export.button.json,Export as JSON,Als JSON exportieren,Exporter en JSON,
export.button.zip,Export as ZIP,Als ZIP exportieren,Exporter en ZIP,
export.zip_warning.title,Redistribution Warning,Weitergabe-Warnung,Avertissement de redistribution,
export.zip_warning.message,"Most mods do not allow redistribution on other sites. This tool takes no responsibility for unauthorized sharing.","Die meisten Mods erlauben keine Weitergabe auf anderen Seiten. Dieses Tool übernimmt keine Verantwortung für unerlaubtes Teilen.","La plupart des mods n'autorisent pas la redistribution sur d'autres sites. Cet outil décline toute responsabilité en cas de partage non autorisé.",
import.modpack.title,Import Modpack,Modpack importieren,Importer un modpack,
import.modpack.preamble,The following mods are included in this modpack:,Die folgenden Mods sind in diesem Modpack enthalten:,Les mods suivants sont inclus dans ce modpack :,
import.modpack.security_warning,"⚠ Mods not downloaded from their original source may have been modified and could be harmful. This tool takes no responsibility.","⚠ Mods die nicht von ihrer ursprünglichen Quelle stammen können modifiziert und schädlich sein. Dieses Tool übernimmt keine Verantwortung.","⚠ Les mods non téléchargés depuis leur source d'origine peuvent avoir été modifiés et être dangereux. Cet outil décline toute responsabilité.",
import.button.confirm,Import,Importieren,Importer,
status.modpack_imported,Modpack ''{0}'' imported.,Modpack „{0}" importiert.,Modpack « {0} » importé.,
status.modpack_import_failed,Modpack import failed.,Modpack-Import fehlgeschlagen.,Échec de l'importation du modpack.,
dialog.redownload_title,Apply Correct Versions,Richtige Versionen anwenden,Appliquer les versions correctes,
dialog.redownload_will_rollback,"Will rollback from cached archive ({0}):",Wird aus Cache-Archiv zurückgesetzt ({0}):,Sera restauré depuis le cache ({0}) :,
dialog.redownload_will_download,"Will download from repository ({0}):",Wird vom Repository heruntergeladen ({0}):,Sera téléchargé depuis le référentiel ({0}) :,
dialog.redownload_entry,"  • {0} → v{1}","  • {0} → v{1}","  • {0} → v{1}",
dialog.redownload_proceed,Proceed?,Fortfahren?,Continuer ?,
dialog.redownload_failed_title,Version Fix Failed,Version-Korrektur fehlgeschlagen,Échec de la correction de version,
busy.rolling_back_cache,"Rolling back from cache ({0}/{1})...",Rollback aus Cache ({0}/{1})…,Restauration depuis le cache ({0}/{1})…,
busy.downloading_correct,"Downloading correct versions ({0}/{1})...",Richtige Versionen werden heruntergeladen ({0}/{1})…,Téléchargement des versions correctes ({0}/{1})…,
status.applied_correct_version,Applied correct version for {0} mod(s).,Richtige Version für {0} Mod(s) angewendet.,Version correcte appliquée pour {0} mod(s).,
status.applied_correct_version_failed,"Applied correct version for {0} mod(s). {1} failed.","Richtige Version für {0} Mod(s) angewendet. {1} fehlgeschlagen.","Version correcte appliquée pour {0} mod(s). {1} échoué(s).",
dialog.remove_title,Remove Mod,Mod entfernen,Supprimer le mod,
dialog.remove_message,"Remove ''{0}'' from the list? If the mod folder still exists on disk it will also be deleted.","„{0}"" aus der Liste entfernen? Falls der Mod-Ordner noch auf der Festplatte existiert wird dieser ebenfalls gelöscht.","Supprimer « {0} » de la liste ? Si le dossier du mod existe encore sur le disque, il sera également supprimé.",
status.removed,Removed: {0},Entfernt: {0},Supprimé : {0},
toolbar.start_game,▶ Start Game,▶ Spiel starten,▶ Lancer le jeu,
toolbar.start_game.tooltip,Launch Derail Valley via Steam,Derail Valley über Steam starten,Lancer Derail Valley via Steam,
status.game_starting,Starting game via Steam...,Spiel wird über Steam gestartet…,Lancement du jeu via Steam…,
button.install_companion,+ Install Companion Mod,+ Begleitmod installieren,+ Installer le mod compagnon,
button.activate_companion,Activate Companion Mod,Begleitmod aktivieren,Activer le mod compagnon,
button.activated_companion,✓ Activated Companion Mod,✓ Begleitmod aktiviert,✓ Mod compagnon activé,
button.companion.tooltip,"Install DV Mod Profiles to associate mod profiles with save files and to provide Steam Cloud synchronization of profiles and the configured mod settings","Installiere DV Mod Profiles um Modprofile mit Spielständen zu verknüpfen und Steam-Cloud-Synchronisation von Profilen und konfigurierten Mod-Einstellungen bereitzustellen","Installez DV Mod Profiles pour associer les profils de mods aux fichiers de sauvegarde et fournir la synchronisation Steam Cloud des profils et des paramètres de mod configurés",
busy.installing_companion,Installing companion mod...,Begleitmod wird installiert…,Installation du mod compagnon…,
busy.activating_companion,Activating companion mod...,Begleitmod wird aktiviert…,Activation du mod compagnon…,
status.companion_installed,DV Mod Profiles installed successfully.,DV Mod Profiles erfolgreich installiert.,DV Mod Profiles installé avec succès.,
status.companion_activated,DV Mod Profiles activated.,DV Mod Profiles aktiviert.,DV Mod Profiles activé.,
status.companion_install_failed,Failed to install companion mod.,Installation der Begleitmod fehlgeschlagen.,Échec de l'installation du mod compagnon.,
drop.hint.install,Drop .zip files here to install,.zip-Dateien hier ablegen zum Installieren,Déposez des fichiers .zip ici pour installer,
app.version,DV ModManager v{0},DV ModManager v{0},DV ModManager v{0},
app.version_update,DV ModManager v{0} → v{1},DV ModManager v{0} → v{1},DV ModManager v{0} → v{1},
tooltip.click_release_page,Click to open release page,Klicken um Release-Seite zu öffnen,Cliquez pour ouvrir la page de release,
group.mod_count_format,{0} mod(s),{0} Mod(s),{0} mod(s),
dialog.new_group,New Group,Neue Gruppe,Nouveau groupe,
file.filter.mod_archives,Mod Archives & Profiles,Mod-Archive & Profile,Archives de mod & Profils,
file.filter.json_profile,JSON Profile,JSON-Profil,Profil JSON,
file.filter.zip_modpack,ZIP Modpack,ZIP-Modpack,Modpack ZIP,
dialog.select_game_folder,Select Derail Valley installation folder,Derail Valley-Installationsordner auswählen,Sélectionner le dossier d'installation de Derail Valley,
dialog.select_game_folder_short,Select Derail Valley folder,Derail Valley-Ordner auswählen,Sélectionner le dossier Derail Valley,
dialog.error,Error,Fehler,Erreur,
dialog.invalid_game_path,Invalid game path — could not find DerailValley_Data folder.,Ungültiger Spielpfad – DerailValley_Data-Ordner nicht gefunden.,Chemin du jeu invalide — impossible de trouver le dossier DerailValley_Data.,
dialog.select_storage_folder,Select storage folder,Speicherordner auswählen,Sélectionner le dossier de stockage,
dialog.delete_profile_title,Delete Profile,Profil löschen,Supprimer le profil,
dialog.delete_profile_message,Delete profile ''{0}''?,Profil „{0}" löschen?,Supprimer le profil « {0} » ?,
dialog.import_profile,Import Profile,Profil importieren,Importer le profil,
dialog.import_failed,Import Failed,Import fehlgeschlagen,Échec de l'importation,
dialog.failed_downloads_title,Download Failed,Download fehlgeschlagen,Échec du téléchargement,
dialog.failed_downloads_message,The following mods could not be downloaded from GitHub:,Die folgenden Mods konnten nicht von GitHub heruntergeladen werden:,Les mods suivants n'ont pas pu être téléchargés depuis GitHub :,
dialog.failed_download_no_link,  • {0}  (no link available),  • {0}  (kein Link verfügbar),  • {0}  (aucun lien disponible),
dialog.failed_download_open_hint,"Click ""Open on Nexus ({0})"" to open their pages in the browser.","Klicke auf ""Auf Nexus öffnen ({0})"" um die Seiten im Browser zu öffnen.","Cliquez sur ""Ouvrir sur Nexus ({0})"" pour ouvrir leurs pages dans le navigateur.",
button.open_on_nexus,Open on Nexus,Auf Nexus öffnen,Ouvrir sur Nexus,
button.open_on_nexus_count,Open on Nexus ({0}),Auf Nexus öffnen ({0}),Ouvrir sur Nexus ({0}),
status.game_running_locked,Game is running. Mod changes are locked.,Spiel läuft. Mod-Änderungen sind gesperrt.,Le jeu est en cours. Les modifications de mods sont verrouillées.,
status.game_stopped_unlocked,Game stopped. Mod changes unlocked.,Spiel gestoppt. Mod-Änderungen entsperrt.,Jeu arrêté. Modifications de mods déverrouillées.,
status.activated_simple,Activated {0}/{1} mod(s).,{0}/{1} Mod(s) aktiviert.,{0}/{1} mod(s) activé(s).,
status.activated_simple_missing_deps,Activated {0}/{1} — missing deps: {2},Aktiviert {0}/{1} – fehlende Abhängigkeiten: {2},Activé {0}/{1} — dépendances manquantes : {2},
status.updated_n_total,Updated {0}/{1} mod(s).,{0}/{1} Mod(s) aktualisiert.,{0}/{1} mod(s) mis à jour.,
status.deactivated_simple,Deactivated {0}/{1} mod(s).,{0}/{1} Mod(s) deaktiviert.,{0}/{1} mod(s) désactivé(s).,
dialog.download_will_auto_github,Will auto-download from GitHub ({0}):,Wird automatisch von GitHub heruntergeladen ({0}):,Sera téléchargé automatiquement depuis GitHub ({0}) :,
dialog.download_will_open_browser,Will open in browser for manual download ({0}):,Wird im Browser zur manuellen Installation geöffnet ({0}):,Sera ouvert dans le navigateur pour téléchargement manuel ({0}) :,
dialog.download_proceed,Proceed with downloads?,Mit Downloads fortfahren?,Procéder aux téléchargements ?,
status.downloaded_n_failed,Downloaded {0} mod(s). {1} could not be auto-downloaded.,{0} Mod(s) heruntergeladen. {1} konnten nicht automatisch heruntergeladen werden.,{0} mod(s) téléchargé(s). {1} n'ont pas pu être téléchargés automatiquement.,
busy.uninstalling_mod,Uninstalling {0}...,Deinstalliere {0}…,Désinstallation de {0}…,
busy.activating_dependency,Activating dependency {0}...,Aktiviere Abhängigkeit {0}…,Activation de la dépendance {0}…,
busy.unloading_all,Unloading all mods...,Entlade alle Mods…,Déchargement de tous les mods…,
